100, 740, 0, 0, 0.9375
120, 740, 0, 0.0625, 0.9375
120, 760, 0, 0.0625, 1
120, 760, 0, 0.0625, 1
100, 760, 0, 0, 1
100, 740, 0, 0, 0.9375
100, 720, 0, 0, 0.9375
120, 720, 0, 0.0625, 0.9375
120, 740, 0, 0.0625, 1
120, 740, 0, 0.0625, 1
100, 740, 0, 0, 1
100, 720, 0, 0, 0.9375
80, 700, 0, 0, 0.9375
100, 700, 0, 0.0625, 0.9375
100, 720, 0, 0.0625, 1
100, 720, 0, 0.0625, 1
80, 720, 0, 0, 1
80, 700, 0, 0, 0.9375
80, 680, 0, 0, 0.9375
100, 680, 0, 0.0625, 0.9375
100, 700, 0, 0.0625, 1
100, 700, 0, 0.0625, 1
80, 700, 0, 0, 1
80, 680, 0, 0, 0.9375
80, 660, 0, 0, 0.9375
100, 660, 0, 0.0625, 0.9375
100, 680, 0, 0.0625, 1
100, 680, 0, 0.0625, 1
80, 680, 0, 0, 1
80, 660, 0, 0, 0.9375
80, 640, 0, 0, 0.9375
100, 640, 0, 0.0625, 0.9375
100, 660, 0, 0.0625, 1
100, 660, 0, 0.0625, 1
80, 660, 0, 0, 1
80, 640, 0, 0, 0.9375
80, 620, 0, 0, 0.9375
100, 620, 0, 0.0625, 0.9375
100, 640, 0, 0.0625, 1
100, 640, 0, 0.0625, 1
80, 640, 0, 0, 1
80, 620, 0, 0, 0.9375
80, 600, 0, 0, 0.9375
100, 600, 0, 0.0625, 0.9375
100, 620, 0, 0.0625, 1
100, 620, 0, 0.0625, 1
80, 620, 0, 0, 1
80, 600, 0, 0, 0.9375
80, 580, 0, 0, 0.9375
100, 580, 0, 0.0625, 0.9375
100, 600, 0, 0.0625, 1
100, 600, 0, 0.0625, 1
80, 600, 0, 0, 1
80, 580, 0, 0, 0.9375
120, 660, 0, 0, 0.9375
140, 660, 0, 0.0625, 0.9375
140, 680, 0, 0.0625, 1
140, 680, 0, 0.0625, 1
120, 680, 0, 0, 1
120, 660, 0, 0, 0.9375
140, 660, 0, 0, 0.9375
160, 660, 0, 0.0625, 0.9375
160, 680, 0, 0.0625, 1
160, 680, 0, 0.0625, 1
140, 680, 0, 0, 1
140, 660, 0, 0, 0.9375
160, 660, 0, 0, 0.9375
180, 660, 0, 0.0625, 0.9375
180, 680, 0, 0.0625, 1
180, 680, 0, 0.0625, 1
160, 680, 0, 0, 1
160, 660, 0, 0, 0.9375
200, 660, 0, 0, 0.9375
